,address,chain_name,city,store_name,chain_code,store_code
612,בוגרשוב 19,סופר יודה,תל אביב,בוגרשוב,7290000000002,201
613,בוגרשוב 19,סופר יודה,תל אביב,בוגרשוב,7290000000002,23
614,בוגרשוב 49,am:pm,תל אביב,בוגרשוב,7290492000005,534
615,בולטימור 2,רמי לוי,עכו,עכו,7290058140886,28
617,בוני העיר 9,שופרסל אקספרס,תל אביב,כוכב הצפון,7290027600007,338
618,בוסתנאי 14,שופרסל אקספרס,רחובות,רחובות- בוסתנאי,7290027600007,311
620,בורוכוב 54,שופרסל שלי,גבעתיים,גבעתיים- מכתש,7290027600007,116
622,בורוכוב 54,סופר פארם,גבעתיים,בורוכוב גבעתיים,7290172900007,279
624,בורלא 1 ,שופרסל שלי,ירושלים,ירום- ניות,7290027600007,42
626,בזק 1 פינת ברקן,שופרסל שלי,ראש העין,ראש העין- ברקן,7290027600007,343
628,"בי""ח בלינסון",BE,פתח תקווה,בילנסון ,7290027600007,688
630,ביאליק 10 רמת-גן,סופר פארם,רמת גן,כופר הישוב,7290172900007,29
632,ביאליק 47,גוד פארם,רמת גן,רמת גן ביאליק,7290058197699,124
634,ביאליק 64,גוד פארם,רמת גן,רמת גן ביאליק חדש,7290058197699,148
635,ביאליק 76,סופר פארם,רמת גן,"קניון ביאליק ר""ג",7290172900007,272
637,ביאליק 79,שוויצריה הקטנה,רמת גן,רמת גן,7291056200008,404
639,ביאליק פינת החשמל שכונת שמשונים,yellow,אשקלון,שמשונים,7290644700005,197
641,ביג פאשן אאוטלט ירכא,סופר פארם,ירכא,ירכא,7290172900007,267
643,"ביג קסטינה, אזוה""ת באר-טוביה",סופר פארם,באר טוביה,ביג קסטינה,7290172900007,150
645,בילאל 45,סופר פארם,נצרת,דושי סנטר,7290172900007,292
647,בילו 2,סופר פארם,רחובות,קניון רחובות,7290172900007,45
649,בילו 50,גוד פארם,רחובות,רחובות,7290058197699,401
651,בין מחלף נשרים למחלף שורק,מיני סופר אלונית,נען,נען מערב,7290492000005,941
653,בין מפעל המלט נשר ללטרון,מיני סופר אלונית,פתחיה,פתחיה,7290492000005,944
655,בית אל,yellow,בית אל,פז בית אל,7290644700005,540
657,בית אמריקה פתח תקווה,סופר פארם,פתח תקווה,בית אמריקה,7290172900007,5
659,בית אשל 1,מחסני השוק,באר שבע,"ב""ש-בית אשל",7290661400001,1
661,בית הדפוס 13,רמי לוי,ירושלים,גבעת שאול,7290058140886,13
663,בית הדפוס 29,אושר עד,ירושלים,גבעת שאול,7290103152017,3
665,בית הקרנות,BE,חיפה,הדר חיפה,7290027600007,659
667,בית וגן 10,שפע ברכת השם קרוב לבית,ירושלים,בית וגן,7290058134977,31
669,בית חולים אשדוד,BE,אשדוד,בית חולים אשדוד,7290027600007,664
671,בית חולים הדסה,שופרסל אקספרס,ירושלים,ירום- הדסה,7290027600007,377
673,"בית חולים סורוקה, שדרות יצחק רגר 151",גוד פארם,באר שבע,באר שבע סורוקה,7290058197699,908
675,בית חולים שערי צדק,BE,ירושלים,שערי צדק,7290027600007,662
677,בית ישראל 17,מעיין 2000,ירושלים,בית ישראל,7290058159628,22
679,בית קמה,yellow,בית קמה,פז השקמה,7290644700005,632
681,"בית""ר פינת ינובסקי",מגה בעיר,ירושלים,אלנבי ירושלים,7290055700007,3420
683,"בית-הבד 2, פינת רמתיים 27",סופר פארם,הוד השרון,בית-הבד,7290172900007,227
685,בכביש 781 כפר אעבלין,yellow,"מצפה אבי""ב",מצפה אביב,7290644700005,410
687,בכיכר ליד טרמינל 2 מזרחית לשדה,מיני סופר אלונית,לוד,"נתב""ג",7290492000005,906
689,בכניסה הצפונית לבש מול הנשיאים,yellow,באר שבע,מבואות באר שבע,7290644700005,626
691,בכניסה לגוש חלב כביש מעלות צפת,yellow,ג'ש (גוש חלב),גוש חלב - גרשון רותם,7290644700005,391
693,בכניסה לישוב כפר טירה מכיוון כפר סב,yellow,טירה,טירה,7290644700005,116
695,בכניסה לישובכביש חוצה שומרון,yellow,עופרה,תחנת דלק עופרה בעמ,7290644700005,239
697,בכניסה לכפר כנא  ליד משרד הרישוי,yellow,כפר כנא,כפר כנא,7290644700005,423
699,בכניסה לכפר מכר-גדיידה,yellow,ג'דיידה-מכר,גדיידה,7290644700005,408
701,בכניסה למושב יוגב כביש יוקנעם-מגידו,yellow,היוגב,היוגב - קרן מזור אלמ,7290644700005,366
703,בכניסה למושב עין ורד,yellow,עין ורד,עין ורד,7290644700005,246
705,בכניסה למושב תדהר כביש 25,מיני סופר אלונית,תדהר,תדהר,7290492000005,930
707,בכניסה לעתלית מול מחנה המעפילים ,yellow,עתלית,מתחם פז מבוא עתלית ח,7290644700005,418
