address	chain_name	city	store_name	chain_code	store_code
מושב שדי חמד	אלונית בקיבוץ ובמושב	שדי חמד	שדי חמד-מושב	7290492000005	715
מושב שדי חמד	אלונית בקיבוץ ובמושב	שדי חמד 	שדי חמד-מושב	7290492000005	715
מחל 1 סנטר דוידי	BE	אשקלון	אשקלון מרכז דוידי 	7290027600007	683
מחל 1 סנטר דוידי	BE	אשקלון 	אשקלון מרכז דוידי 	7290027600007	683
מחלף באקה - כביש 6	yellow	באקה אל-גרביה	באקה	7290644700005	437
מחלף באקה - כביש 6	yellow	באקה אל-גרביה 	באקה	7290644700005	437
מחלף מסובים	מיני סופר אלונית	רמת גן	מסובים	7290492000005	900
מחלף מסובים	מיני סופר אלונית	רמת גן 	מסובים	7290492000005	900
מחלף נתניה צפון (הרצל 102 )	yellow	נתניה	עוז נתניה	7290644700005	341
מחלף נתניה צפון (הרצל 102 )	yellow	נתניה 	עוז נתניה	7290644700005	341
מחלף קיסריה ליד תחנת הכח	yellow	קיסריה	מתחם קיסריה - ניתוב	7290644700005	355
מחלף קיסריה ליד תחנת הכח	yellow	קיסריה 	מתחם קיסריה - ניתוב	7290644700005	355
מחלף שער הגיא כביש ים תא	yellow	ירושלים	שער הגיא	7290644700005	504
מחלף שער הגיא כביש ים תא	yellow	ירושלים 	שער הגיא	7290644700005	504
מחניים 4	טיב טעם	חיפה	מחניים	7290873255550	92
מחניים 4	טיב טעם	חיפה 	מחניים	7290873255550	92
מיכאל 16	ברכל	חיפה	מיכאל	7290058160839	250
מיכאל 16	ברכל	חיפה 	מיכאל	7290058160839	250
מיכאל 7	מעיין 2000	טבריה	טבריה	7290058159628	28
מיכאל 7	מעיין 2000	טבריה 	טבריה	7290058159628	28
מיכאל 9	נתיב החסד	חיפה	חיפה	7290058160839	24
מיכאל 9	נתיב החסד	חיפה 	חיפה	7290058160839	24
מישור אדומים	yellow	ירושלים	פז מישור אדומים- דוד	7290644700005	541
מישור אדומים	yellow	ירושלים 	פז מישור אדומים- דוד	7290644700005	541
מלכי ישראל 178	שופרסל דיל	קרית גת	קרית גת- מלכי ישראל	7290027600007	214
מלכי ישראל 178	שופרסל דיל	קרית גת 	קרית גת- מלכי ישראל	7290027600007	214
מלכת שבא	BE	אילת	מלכת שבא אילת	7290027600007	620
מלכת שבא	BE	אילת 	מלכת שבא אילת	7290027600007	620
מלצר 20	שופרסל אקספרס	רחובות	מלצר רחובות	7290027600007	148
מלצר 20	שופרסל אקספרס	רחובות 	מלצר רחובות	7290027600007	148
מלצר 24	נתיב החסד	בני ברק	מלצר	7290058160839	30
מלצר 24	נתיב החסד	בני ברק 	מלצר	7290058160839	30
מנדל 67	שופרסל שלי	חיפה	חיפה- זיו	7290027600007	19
מנדל 67	שופרסל שלי	חיפה 	חיפה- זיו	7290027600007	19
מנדלי מוכר ספרים	שופרסל אקספרס	תל אביב	מנדלי מוכר ספרים	7290027600007	481
מנהטן סנטר, אליהו אילוז 2	יוחננוף	נתיבות	נתיבות מהדרין	7290803800003	55
מנהטן סנטר, אליהו אילוז 2	יוחננוף	נתיבות 	נתיבות מהדרין	7290803800003	55
מנוחה ונחלה 18	BE	רחובות	מדיקל מנוחה ונחלה	7290027600007	687
מנוחה ונחלה 18	BE	רחובות 	מדיקל מנוחה ונחלה	7290027600007	687
מנחם בגין 1	BE	שדרות	שדרות	7290027600007	684
מנחם בגין 1	BE	שדרות 	שדרות	7290027600007	684
מנחם בגין 132	שופרסל דיל	תל אביב	ת"א- השלום	7290027600007	132
